Category;Class;Class Description
Hot - Flavored ;B;Coffee drinks & milkshakes
Methods ;K;Promoted sales
Hot - Purist ;B;Coffee drinks & milkshakes
Cold - Purist ;B;Coffee drinks & milkshakes
Personalization ;P;Personalization
Cold - Flavored ;B;Coffee drinks & milkshakes
Sweets ;F;Foods
Milkshakes;B;Coffee drinks & milkshakes
Affogatos ;D;Desserts
Sandwiches ;F;Foods
Other beverages ;A;Refreshing drinks
Combos ;K;Promoted sales
Bakery Products ;F;Foods
Italian Soda ;A;Refreshing drinks
Coffee Line ;S;Boutique
Casual Line ;S;Boutique
Ice Cream ;D;Desserts
Sorvetes com brownie ;D;Desserts
Tea Line ;S;Boutique
Chocolates;F;Foods
Black Friday ;K;Promoted sales
Halloween ;K;Promoted sales
Páscoa ;K;Promoted sales
Green Tea Week ;K;Promoted sales
Coffee Week ;K;Promoted sales
Birthday  ;K;Promoted sales
